bar,price,hodl,lp5,lp30,lpLive,lpProp,arb5,arb30,arbLive,arbProp,kLive,kProp
6564,1863440000000000000000,2424637426319370911799995,2408747269168917744231886,2475777818179017211289540,2558505734207431333677854,2619122233180086015846698,425634757624891166340320,349988066238439713592690,265608161014803588355269,237890019215880535627431,50000000000000000,33215999408047543
6576,1947800000000000000000,2489132346082983479546501,2462728919328203347593974,2531468319200815913505511,2616056443566523542780822,2677559368511091219047975,426598275000097798360364,350739899738111978073040,266384999274005848817813,238443932599263480858513,0,0
6588,2055010000000000196608,2571096551249609442410023,2529657573273353389241477,2600497264272354580572608,2687391315707160897632820,2750563590200542009459056,427914440233615709113204,351930581559154972392600,267614567152708814411700,239696252947801397825153,0,50000000000000000
6600,2051389999999999803392,2568328988310489850580507,2527487002817812252726864,2598485006336422936877952,2685247660246109048334908,2748545455923960364216480,429075219290632452338306,352970154972506224642433,268505887267837164999350,239745160361118548781073,0,0
6612,1951380000000000131072,2491869328216146335494260,2465145403238319152000565,2534480672487213529130085,2619105321636890159598372,2680887186965575430899794,429612332896061740773647,353436978615115726541528,268988310019362475206919,240220459240302069607558,0,33937804637374140
6624,2062150000000000065536,2576555225112958577302273,2534199160150258014468849,2605649887111838028766481,2692647546414364689229132,2756109377763722326502610,430241647811243783546610,353810049738890516134034,269390322490729707399663,240422336187465359627191,0,0
6636,2063219999999999868928,2577373261672313970347331,2534906901881006807279856,2606539009098675971145388,2693565382979864533657970,2756926217721452687469997,430805196615722315350446,354171777458256405871837,269763296660902594561677,241046620760663757734053,0,0
6648,2074219999999999868928,2585782983310526297793945,2541690699607591428174866,2613604091312583700979287,2700865436914940617766339,2764341781278805552661017,431074917399696654954925,354346869963778514471979,269945632001611560456861,241063608908914339909721,0,13891776434451360
6660,2270300000000000131072,2735690094112430783690819,2659166854707771246549571,2734581060977028440080764,2826511422163603298532159,2893779973676831694279303,431891233226218291990354,355012530877607164584519,270355626415143795004991,241391985477759596510142,87533114797490693,50000000000000000
6672,2269800000000000262144,2735307834037967052610734,2658917060264170871648180,2734463392076319149100945,2826447746962607997662440,2894258854958802063984966,432378144517324597368078,355440288674106377223654,270681353862485931167514,241723296338825373498525,0,36008157886434460
6684,2141590000000000065536,2637288705743842151166021,2582775065903829713259190,2656309159625413943953979,2745477304433081957774838,2811488070588282017791958,433195098100451727811050,356161913982241105159383,271060549000520754683409,242315444426267809430604,0,6670907342595583
6696,2069790000000000065536,2582396159050773108762416,2539145204935348195754791,2611529910292912476404271,2699172583654708771080005,2764067474303810271092545,433576255360503962993999,356436734229582698804760,271386648818689976152868,242679840777355411702349,0,50000000000000000
6708,2165550000000000065536,2655606608512169540379373,2597260055723354823510783,2671411867278160840759895,2761002663699205502988061,2827364394359938371269116,434251629542624309994595,356935555850784569767592,271683101624026038038320,242915491611720220746944,0,50000000000000000
6720,2067889999999999934464,2580943570767809667991652,2538065801381805380373009,2610688486401223143595447,2698229944595061818367984,2763079615653839235454807,434869616276949242417203,357404452997406177134120,272171606367090077009543,243413250948463066328229,0,50000000000000000
6732,1996640000000000000000,2526471510156652307794294,2493991827969267095733056,2565431085753456310775577,2651429938840165133561961,2715745778206146924591596,435392726106377478329421,357744183125922557971614,272515402194659644656581,243454415578436730001445,35667001472803293,29775128367300200
6744,2070150000000000065536,2582671386304388882310377,2539524510996730476966100,2612372904453563472917553,2699920014010118252634456,2765308072056574134182003,435760744473531884853301,357978442021977814303218,272784959909789593422943,243591992692896840835080,0,0
6756,2134929999999999934464,2632197001551976167169180,2578999225556512837518021,2653124555084450041666065,2742035219498123575211423,2808418326164975185711197,436415270324399181104268,358415406339652171452337,273238982188224208494451,244131693065270756719746,0,46666666672415670
6768,2062940000000000131072,2577159196030612647421840,2535182586432863162873943,2608149704834143233466231,2695535496409458807387166,2760759744030701328274942,437102111200534196302843,358906196672662794814518,273709540917620885521322,244464450758117644976590,0,0
6780,2041849999999999934464,2561035466089711403862076,2522216072996187695279088,2594838062728695275688382,2681774249569909043677367,2746660226708809690902339,437210131691916022708165,358945223675058429656787,273772867735798495919364,244530520259245163976650,0,13598787365713260
6792,2089610000000000196608,2597548948402536643085159,2551584717791131794166840,2625206656097479047252211,2713079322787014232270430,2778643873766808434117711,437643285350271009814113,359320337046384289447913,274073942900113339804861,244702879390320555473324,0,0
6804,2180300000000000131072,2666883280708863474474926,2606412782122660097320303,2681802050847131011077610,2771530205906611005923881,2838945229767751321487834,438829528543823736459164,360553153581064757191072,275297485678027879635807,245153690290391344633420,0,7079295219267453
6816,2247389999999999803392,2718174937500480471962952,2646246055476404254215210,2722881013736823258732442,2813978536833095243067990,2882615809650998763677032,439124566321996233719970,360721035543126896045258,275478575434639125644099,245261697909103109161072,0,35391691643175063
6828,2187960000000000000000,2672739505049658213792228,2611067722033233217614752,2686828969038237840453722,2776702304433457160006575,2844564306400179655636456,439864011894074247487691,361399492528760317282342,276177792449845179438500,245439643098358898125198,0,0
6840,2338329999999999934464,2787700399844039512515249,2699362832800388986820377,2777881453213993934981286,2870761851129354305164552,2941391575527809175028794,441234718199351543382033,362582471561897342147560,277304700201880955862428,245750231910527983568439,0,34740529753769593
6852,2355739999999999868928,2801010695636887360630176,2709427456395033980958399,2788318302619807473648277,2881537824958318680578435,2952671912568531458133404,441478709890785324227318,362733673472579994881004,277478715087410188841587,245824675988120663613760,0,44253172617222433
6864,2330429999999999803392,2781660690667503982791583,2694879059482979235662289,2773502918838217566997362,2866206283812908218896363,2936925193691801048237427,442295719370249460762041,363471321856636692561646,278235987213787247031653,245845278172044422935941,0,9507126593199133
6876,2321199999999999737856,2774604169692896195268623,2689573114506600483814209,2768133733370025370161654,2860654689178595533028574,2931192915992453099218562,442537309583392576816281,363625487120181559705090,278399739027581212634332,246028023414779071124438,0,0
6888,2330080000000000000000,2781393108615380502317036,2694747328103704428770840,2773582203217256281407830,2866260250193161752819370,2936858425481689929855122,442763339676626885863162,363843720704389871913619,278625693634217749989083,246160373451273034009021,0,0
6900,2314699999999999868928,2769634788724860360578616,2685864921824994019498165,2764467938086966498290147,2856841590823682838908191,2927203833176516212328950,442864056107389475138382,363863254298102824259745,278658828361786945622725,246211600774348442960107,0,0
6912,2320659999999999868928,2774191328812471679553268,2689358185684859368612546,2768175005451012595387142,2860625168257939159666810,2931098459865983464297811,443283990084207649095371,364193900783010928803855,279049557151399695466448,246383093880058176075792,0,0
6924,2331869999999999803392,2782761599681959676631636,2695881169156174726954985,2774977217956454305170915,2867647251337606617429729,2938275329527218437904382,443510200367639151514798,364335518819776943003080,279194105597666581367802,246534879466437115006503,0,0
6936,2286460000000000131072,2748044739719116526478031,2669540200964585506317471,2747959734986491653943716,2839714454924438372390522,2909640337336416385935557,443897907172864263265133,364597062606911713252577,279487040353585070364761,246835126699769592191360,0,0
6948,2319800000000000262144,2773533841484394981642073,2688953409708922397890572,2767975887631702886535869,2860389303869237074480838,2930818818910482685733913,443959090098935082989519,364625041805305959981250,279526397109500238661563,246863499861668102353455,0,8129535521379900
6960,2379849999999999934464,2819443276427552527580743,2723572666363952531841158,2803707455065068590853830,2897276086817251183503456,2968838327881431853568411,444368391375837113415867,364887782429689755054756,279843817332689719602318,246994620495929157149840,0,19363154469921180
6972,2330059999999999868928,2781377818212400644176026,2694973063285239026877810,2774366122908973799911350,2866934245639052209716705,2937628223314812231312090,444778594513013873047208,365117889885345764112185,280119832300847569575565,247127188797846437429395,0,0
6984,2314790000000000065536,2769703595538261650623306,2686152711597196646533678,2765338637780742410644711,2857595724536121837482205,2928021663890348445967776,444884242536033175263504,365208318301268903346072,280216873800893722306930,247202076929417639332878,0,0
6996,2335929999999999934464,2785865551486612362594311,2698422559246716692010518,2778029035926887096240760,2870688418760919501295861,2941434033388363488847338,445105253128465402724049,365309438727121025582159,280368044565784467342864,247340199279647009036339,0,0
7008,2301640000000000000000,2759650155579854143453988,2678577732241541987164188,2757677941864856154048050,2849634798371438388469759,2919833115040402951793278,445357881602131802913063,365438627621319038741823,280543625745491425895377,247484593356060423603705,0,0
7020,2257610000000000196608,2725988333422529872657659,2652877503695389619488813,2731327799824509270756712,2822383737197091419282437,2891880705463878435649191,445854390456491272924349,365731830070948708147012,280884105252506134249759,247804128448035431137807,0,0
7032,2191560000000000000000,2675491777585801223420872,2613816100732999690160297,2691197088185071688139130,2780868422366866409085495,2849485754508868367151890,446131384306271120041583,365939505782397243916130,281090125366189821547638,247915063112128840081182,57431423956706953,15591421582442006
7044,2109520000000000000000,2612770544567703789426014,2564464876755420860273516,2640474136698527111752574,2728436906317688216605277,2796100096163985670309083,446523928667416503515991,366155661267647198082647,281305242883890036812531,248270070497857354217642,0,49171738815631673
7056,2113489999999999672320,2615805689558950466835724,2566903669271643237430655,2643017876755544418522236,2730976223735754971792289,2798763754330257893060192,446644208407598941247474,366190150188947499963281,281470639608570429690361,248340905736599185172793,0,0
7068,2029809999999999934464,2551830643496611822136884,2515609947449381039621454,2590299680437159859072693,2676585545109034122872073,2743097373020783399915373,447050859645940018650562,366538207889885955361944,281700731318981645664924,248575323242095932772796,0,24280765557349130
7080,2113560000000000000000,2615859205969376256947335,2567017783329254180145916,2643333363056727250216667,2731186950742887901724521,2798933598829730423226523,447333966140082680224053,366737613804781829147830,281895725065321356460637,248693710855280793464877,0,0
7092,2078190000000000065536,2588818128301773167994128,2545476373680026726956191,2621216183534548107032223,2708318038782650155279784,2775484929336249514235639,447552094999203514893667,366834730897835310699998,282039832250496781557585,248845695614259520596232,0,20290440913042383
7104,2005630000000000065536,2533344546295520308884254,2500674851620402444153173,2575165006397673813366960,2660671992910332230211324,2727005576006595357541334,447784717830146849238378,367065956387707219216052,282149607705409897068449,248926942762422855977817,36666666684085106,26992352198710650
7116,2021180000000000131072,2545232834611357122261093,2510373398836010869760365,2585179328218479512425178,2671000076053071639766054,2737518047481093813919795,447875453279573225135553,367106918117031255571833,282177323618322754569510,249019079563537413001372,0,22698932762257690
7128,1976600000000000000000,2511150526372123263400991,2482565997517238205954123,2556634225023647433411934,2641439943553226950400664,2707434684336763631893324,448193415564998038173724,367277720622102211376510,282360783067018806037146,249077804092623528102295,0,26498985472374490
7140,1750099999999999868928,2337986712639812943099056,2336062917425799479515193,2406011783301195212136479,2487918477857840198575293,2550797221385756659786248,449334039581799359121918,368349595268481150747198,282767875535801073922094,249520571072521941317914,78289043962045360,50000000000000000
7152,1558630000000000065536,2191604039724468483255625,2204627699583525422415056,2270839383157510052186755,2354510586862844402858387,2411200185172877252182907,450645568773801514429546,369539853414542465767444,283521170888721768092392,250717020067040645924322,100000000000000000,50000000000000000
7164,1682950000000000065536,2286649184639262220338917,2290911889866008904421115,2359858711191449655377075,2444364963132047173530870,2504884899269217035376692,451428856905848999023536,370174273266463994726465,283543427068621577267003,250940774250534895397584,40812293090464513,0
7176,1619249999999999934464,2237949251152515336279401,2247172720119843271712240,2314877817540271381496875,2397692361951291397381344,2457202390160589114577944,451671444637232135862489,370338027754770384174941,283900664703324240976452,251117644387549503155832,80000000014058120,28650194907132580
7188,1672339999999999868928,2278537625859131498762454,2283759995619554142413499,2352691107876694420996760,2436769318034992973530006,2497229895889109597207479,452289804967691169682216,370646098391699316750991,284187423282708193500252,251338912456927401423096,0,0
7200,1673190000000000065536,2279187467985720512027364,2284359288628492972470309,2353329160218819344226818,2437426002128784303237082,2497902652537786056450684,452324686843955145386262,370660052698114386254241,284203528973028416844742,251355687445311711211732,0,0
7212,1798560000000000000000,2375035359056889837681320,2368455820987253290697104,2440195993883761205238601,2527384492560672913205228,2590735919086389922863179,453745576672849576365763,371874571183112942978355,284701787699225104806871,252212098972731750696279,39144037192178553,21732717518718950
7224,1742009999999999934464,2331801744634981155135373,2330954291631214028729911,2401609454660294346068593,2487222587523756122510192,2549696810964748764317647,454007878148374446896805,371997227449613391044340,284950313853541694425327,252356614082051074340250,0,0
7236,1725890000000000196608,2319477679834254301810894,2320184021216678483616540,2390613736204885684257915,2475815359292758932165437,2537978837582093938742728,454625340941436107285713,372388624480756471500401,285391888054004446247637,252811276414584446162230,0,0
7248,1766339999999999868928,2350402519858410995764694,2347251095846067341046711,2418585593761132632473821,2504769413957065632171334,2567657951966958128640118,454870667380409911004060,372530895513694098937721,285562623899905301988221,252989109197152204573871,0,50000000000000000
7260,1677510000000000065536,2282490195029091182243987,2287499228007998273720043,2357114753291148164325059,2441101931272961679412652,2502375249466225175699196,455152409029642826532600,372815812239414825956065,285860743147715280767833,253241717680939861759131,0,13102796295223806
7272,1543569999999999934464,2180090366281604429589160,2194344071875681167862900,2261374962360095884812047,2341908722451817181383822,2401238981982018043767337,456663202184652416964999,374046533675974932536554,286948040481935342654226,254058661797835988391648,59883922881200093,30041055363135083
7284,1581089999999999934464,2208775162269402363572385,2220884234283113221018070,2288797639702293611014915,2370138355860398269366566,2430032893577155741762924,457009774109188605205440,374219067999715417970428,287055498774858427809676,254156844754926560505924,0,6019611499903890
7296,1576790000000000065536,2205487725629009278497770,2217893670336241146604970,2285802672370441513288887,2367015120390048433563510,2426834983105185879307030,457319433651179337180756,374522444891851041834277,287376162469620311573564,254481644517144270504888,0,0
7308,1648740000000000131072,2260494950344416871225841,2267979597655064753482456,2337558047402015435728290,2420604579330683926801962,2481769539692525453018266,457948765422592496853175,374904242812707207620120,287775698548064318542453,254886267330519144861001,0,50000000000000000
7320,1756859999999999868928,2343154868846570538953566,2341197944091020500112242,2413135029712335243455178,2498936604081961110868505,2563364372142163590702609,458349354440631750759364,375249674006948617374850,288267126814318057973166,254988193668285780060770,20746453628525446,50000000000000000
7332,1758259999999999868928,2344225197055068383507733,2342160041634674593908702,2414207754042539186914499,2500086740181181887234087,2564715836020995847352854,458562737425399475160766,375417677835058656508767,288330386641221243151200,255034569601724071404762,0,31474330215568913
7344,1746800000000000000000,2335463796148349852537449,2334549843047767800014688,2406452489512579916226066,2491968705129174617994292,2556613479045260843587521,458820784893914232056019,375569066932731237777290,288628471826365861585774,255113189337107913052387,0,13426134497369106
7356,1800320000000000000000,2376380914519004470562388,2370080827193056484876918,2443164451692097803656132,2529963725066610523805700,2595740620435645116681630,459120879710874634665329,375749900255665237689229,288829635649119922977194,255255994391664233086405,0,50000000000000000
7368,1802900000000000131072,2378353376503238707819279,2371813741162657343652968,2445006126858781719641857,2531842747659311519745537,2597739736319786456903771,459423083489150784301999,375878108347679236388471,288943334776121815795679,255358785919879920589664,0,11507324801124380
7380,1796349999999999803392,2373345769527757285184046,2367524628323181937832734,2440645423183470636572919,2527309145052940522937968,2593076580156069161930894,459537078937709988797053,375964235883359343418595,289055731155415409260107,255439902747106563220533,0,11524156045013093
7392,1883950000000000065536,2440317734573895354159617,2424612513224315432296925,2499663884301613885216899,2588418726117678437344869,2656231085214680832409706,460532397276235795988584,376851872843852095051090,290020145994956379610121,256063257056369751552947,10930726467335833,26217367713053513
7404,1844360000000000000000,2410050381877816533839696,2399023828409097819238752,2473341851642880285991213,2561154582925518827605443,2628237818742692545844395,460644689210314686498514,376941458681478360476337,290115378043998011666545,256159899118472200339896,0,0
