block,phase,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on,lp_vf,cum_lvr_vf,cum_noise_vf
61,0,4208630000000000065536,4229289689787445405896,4229289689787445405896,0,2,447969312587958478,8951099919632576063035923,8951099919632576063035923,5360995621902781584169,5360995621902781584169,0,8951493372083715117509716,5080207845224179210300,114773381438039623909
62,0,4195760000000000000000,4216660357210314404836,4216660357210314404836,0,2,211737610309356107,8937403992868242042320218,8937403992868242042320218,5431773793831337163327,5431773793831337163327,0,8937813276338374528547795,5140844595107291665728,121085342895400275667
63,0,4184029999999999803392,4190115260619718720469,4190115260619718720469,0,2,251194847593513123,8924877002268432518908031,8924877002268432518908031,5499101023578998105614,5499101023578998105614,0,8925296160098452712407445,5199384600912087727299,122739315019508916434
64,0,4155789999999999803392,4136381770012409773145,4136381770012409773145,0,2,334013210090420256,8894728912169391326341756,8894728912169391326341756,5574330463193349144677,5574330463193349144677,0,8895160545552557833311088,5265769121263964956872,127760376900911191281
65,0,4165970000000000196608,4185582260820528823703,4185582260820528823703,0,2,473916015748173928,8905616650491770313062389,8905616650491770313062389,5630885677331686974547,5630885677331686974547,0,8906062561390618687818924,5313989509902545802911,133191425416637186171
66,0,4149489999999999672320,4157824588901894228892,4157824588901894228892,0,2,201810274260222853,8887964468913997464921009,8887964468913997464921009,5714213040409831392281,5714213040409831392281,0,8888422437844219142159588,5386788052625993592670,135629745479305646331
67,0,4176939999999999606784,4195326711241598706804,4195326711241598706804,0,2,288739763847625019,8917331172191302392518044,8917331172191302392518044,5737665380053174479090,5737665380053174479090,0,8917801022243853119675274,5404912126171138884389,140694370710362053293
68,0,4183590000000000065536,4201616429217532485941,4201616429217532485941,0,2,98758222767285135,8924425978285481050259975,8924425978285481050259975,5746420599262909128931,5746420599262909128931,0,8924904428337187398450511,5410414972168668065990,145659718266097453682
69,0,4168329999999999934464,4183514674886849019543,4183514674886849019543,0,2,67859329578858328,8908128946137309770611978,8908128946137309770611978,5816865570181410396318,5816865570181410396318,0,8908618224599486307464717,5472833206019684721219,149337137700612191124
70,0,4163880000000000262144,4168040347818530108201,4168040347818530108201,0,2,149002434059825240,8903359028281998814237101,8903359028281998814237101,5841495953585479224150,5841495953585479224150,0,8903853397316963595788894,5493054480657363274288,150277454379143981772
71,0,4154989999999999803392,4134542218898197281351,4134542218898197281351,0,2,217760611348593261,8893875438952009267652648,8893875438952009267652648,5852429013890332796624,5852429013890332796624,0,8894376260922767867699959,5501271071140676982055,154537953100700608637
72,0,4064199999999999737856,4048286511798195803645,4048286511798195803645,0,2,351907060852034890,8796159612960567512330625,8796159612960567512330625,6176189550562424924722,6176189550562424924722,0,8796673428197285936340139,5810059688352173083561,157954700438340019411
73,0,4010310000000000065536,4024915430697464730832,4024915430697464730832,0,2,575611615565888400,8737645487380976442746650,8737645487380976442746650,6273214239914480560657,6273214239914480560657,0,8738170751590885786346902,5896489937356161763564,162093249455187318464
74,0,4004530000000000196608,4016686685597770298996,4016686685597770298996,0,2,618190923154603853,8731342101577313373718673,8731342101577313373718673,6301354058345704584862,6301354058345704584862,0,8731875671805370129667747,5919202553843681582014,165345871173935847347
75,0,4006230000000000065536,3989231129781050171552,3989231129781050171552,0,2,633483027445776552,8733204924156584695405636,8733204924156584695405636,6308771715615136723178,6308771715615136723178,0,8733745102553390628021922,5924146414580465024300,169367452928331615768
76,0,3913800000000000262144,3897735610142088077653,3897735610142088077653,0,2,683468981650296789,8631871427242763850073296,8631871427242763850073296,6701975385572658820848,6701975385572658820848,0,8632426673145225965049343,6299879636416118914595,173120935954036946630
77,0,3876829999999999803392,3881647889697616132341,3881647889697616132341,0,2,794830685176048290,8590989584977719967807272,8590989584977719967807272,6733034487701712282912,6733034487701712282912,0,8591550235144859514143901,6324513816192095053315,174622025191674925714
78,0,3968400000000000000000,3962014343256617929898,3962014343256617929898,0,2,808928059325459202,8691857374284739013619537,8691857374284739013619537,7263842806574077723605,7263842806574077723605,0,8692450910569997130255337,6830810203412978895692,176433869478706802308
79,0,3942499999999999868928,3931875874132615453725,3931875874132615453725,0,2,291608450714505971,8663452056014335354682959,8663452056014335354682959,7290243787708922419772,7290243787708922419772,0,8664053698879220817781525,6850644768651642568132,179984928803180740791
