id,block,pool,kind,zeroForOne,amount_in,amount_out
123,11156332,poincare,noise,1,2025858672277072362,6336980268766074960153
124,11156332,control,noise,1,2025858672277072362,6336980268766074960153
125,11156333,poincare,arb,0,5001752632221185963571,1599701297281846428
126,11156333,control,arb,0,5001752632221185963571,1599701297281846428
127,11156333,poincare,noise,1,2669548197581703298,8337685235897729963158
128,11156333,control,noise,1,2669548197581703298,8337685235897729963158
129,11156334,poincare,arb,0,14215137896810507778844,4542637381869946057
130,11156334,control,arb,0,14215137896810507778844,4542637381869946057
131,11156334,poincare,noise,0,2406479313749871755576,764847121980115237
132,11156334,control,noise,0,2406479313749871755576,764847121980115237
133,11156335,poincare,arb,0,17551899870562459366653,5542327331148065240
134,11156335,control,arb,0,17551899870562459366653,5542327331148065240
135,11156335,poincare,noise,1,2557751775878213318,8125042922351727820219
136,11156335,control,noise,1,2557751775878213318,8125042922351727820219
137,11156336,poincare,arb,1,1833245690033101027,5797218025441720711715
138,11156336,control,arb,1,1833245690033101027,5797218025441720711715
139,11156336,poincare,noise,0,957030888984310314212,303118253836089988
140,11156336,control,noise,0,957030888984310314212,303118253836089988
141,11156337,poincare,arb,0,10286439831017157340062,3246092926617150334
142,11156337,control,arb,0,10286439831017157340062,3246092926617150334
143,11156337,poincare,noise,1,2504766790780473714,7943341304266912355088
144,11156337,control,noise,1,2504766790780473714,7943341304266912355088
145,11156338,poincare,arb,0,15557764943924143385673,4893702816456017389
146,11156338,control,arb,0,15557764943924143385673,4893702816456017389
147,11156338,poincare,noise,1,1698476835533582212,5417540822026911050581
148,11156338,control,noise,1,1698476835533582212,5417540822026911050581
149,11156339,poincare,arb,0,18894727065629737021220,5897991798315514192
150,11156339,control,arb,0,18894727065629737021220,5897991798315514192
151,11156339,poincare,noise,0,9805380512643588353329,3032478440820104038
152,11156339,control,noise,0,9805380512643588353329,3032478440820104038
153,11156340,poincare,arb,1,2670471228031627337,8638101008126691156078
154,11156340,control,arb,1,2670471228031627337,8638101008126691156078
155,11156340,poincare,noise,0,2560988237233159518360,793281788218298127
156,11156340,control,noise,0,2560988237233159518360,793281788218298127
157,11156341,poincare,arb,1,791792891816337274,2556185526442806192392
158,11156341,control,arb,1,791792891816337274,2556185526442806192392
159,11156341,poincare,noise,0,642281924664281758301,199073317954666628
160,11156341,control,noise,0,642281924664281758301,199073317954666628
161,11156342,poincare,arb,1,1232541634033253433,3972347444054154275446
162,11156342,control,arb,1,1232541634033253433,3972347444054154275446
163,11156342,poincare,noise,1,1427643133183614080,4588428205860083878295
164,11156342,control,noise,1,1427643133183614080,4588428205860083878295
165,11156343,poincare,arb,0,13604484328060962285982,4220603269810075169
166,11156343,control,arb,0,13604484328060962285982,4220603269810075169
167,11156343,poincare,noise,0,546194522108648945397,168676968000739079
168,11156343,control,noise,0,546194522108648945397,168676968000739079
169,11156344,poincare,arb,0,15925123047743905598662,4892071884061733643
170,11156344,control,arb,0,15925123047743905598662,4892071884061733643
171,11156344,poincare,noise,0,470940527301331228489,143909200820414282
172,11156344,control,noise,0,470940527301331228489,143909200820414282
173,11156345,poincare,arb,1,7463317845540981861,24237573512373078795838
174,11156345,control,arb,1,7463317845540981861,24237573512373078795838
175,11156345,poincare,noise,0,6089536468541818078837,1886078292221253871
176,11156345,control,noise,0,6089536468541818078837,1886078292221253871
177,11156346,poincare,arb,0,29129347761767666828909,8920619737096546795
178,11156346,control,arb,0,29129347761767666828909,8920619737096546795
179,11156346,poincare,noise,1,394954836507060600,1301250037816713394131
180,11156346,control,noise,1,394954836507060600,1301250037816713394131
181,11156347,poincare,arb,1,4061525065192007271,13318963540834707056260
182,11156347,control,arb,1,4061525065192007271,13318963540834707056260
183,11156347,poincare,noise,1,1049579084414334580,3423479317030150696067
184,11156347,control,noise,1,1049579084414334580,3423479317030150696067
185,11156348,poincare,arb,1,672744225226901507,2190381333538661021023
186,11156348,control,arb,1,672744225226901507,2190381333538661021023
187,11156348,poincare,noise,1,305063239078733490,992237264601079101725
188,11156348,control,noise,1,305063239078733490,992237264601079101725
189,11156349,poincare,arb,1,4895970577579423695,15838320702584525945168
190,11156349,control,arb,1,4895970577579423695,15838320702584525945168
191,11156349,poincare,noise,0,5231110369470953249070,1622583076815212295
192,11156349,control,noise,0,5231110369470953249070,1622583076815212295
193,11156350,poincare,arb,1,10076110124078768150,32201689348959901217368
194,11156350,control,arb,1,10076110124078768150,32201689348959901217368
195,11156350,poincare,noise,0,286572276381160916639,90602978804235149
196,11156350,control,noise,0,286572276381160916639,90602978804235149
197,11156351,poincare,arb,1,3118302726844319656,9832333384562081918638
198,11156351,control,arb,1,3118302726844319656,9832333384562081918638
199,11156351,poincare,noise,0,2267281701086829199849,720840650411592046
200,11156351,control,noise,0,2267281701086829199849,720840650411592046
201,11156352,poincare,arb,0,9082274224748517862156,2876866817381273359
202,11156352,control,arb,0,9082274224748517862156,2876866817381273359
203,11156352,poincare,noise,1,223589708330635756,707804507784929089332
204,11156352,control,noise,1,223589708330635756,707804507784929089332
205,11156353,poincare,arb,1,3855914299819331202,12155288565348921916918
206,11156353,control,arb,1,3855914299819331202,12155288565348921916918
207,11156353,poincare,noise,0,5320006871414536944500,1691385518160993473
208,11156353,control,noise,0,5320006871414536944500,1691385518160993473
209,11156354,poincare,arb,1,4125206683779032600,12942881369887844101599
210,11156354,control,arb,1,4125206683779032600,12942881369887844101599
211,11156354,poincare,noise,0,6211189610377547912451,1984016521446641986
212,11156354,control,noise,0,6211189610377547912451,1984016521446641986
213,11156355,poincare,arb,1,3025969201597828108,9463038717840246370048
214,11156355,control,arb,1,3025969201597828108,9463038717840246370048
215,11156355,poincare,noise,1,2728103671369756516,8481427078312578056390
216,11156355,control,noise,1,2728103671369756516,8481427078312578056390
217,11156356,poincare,arb,0,738214579293684677930,238056453834157975
218,11156356,control,arb,0,738214579293684677930,238056453834157975
219,11156356,poincare,noise,0,839550760137389502066,270594384440373904
220,11156356,control,noise,0,839550760137389502066,270594384440373904
221,11156357,poincare,arb,0,2772813861628951141317,892640306801202407
222,11156357,control,arb,0,2772813861628951141317,892640306801202407
223,11156357,poincare,noise,0,3858630347345312454752,1239488067510912266
224,11156357,control,noise,0,3858630347345312454752,1239488067510912266
225,11156358,poincare,arb,1,1948284058813633477,6060780947292433475587
226,11156358,control,arb,1,1948284058813633477,6060780947292433475587
227,11156358,poincare,noise,0,9093585927594480745910,2920294392857995112
228,11156358,control,noise,0,9093585927594480745910,2920294392857995112
229,11156359,poincare,arb,1,980286886330461748,3058603046759242444836
230,11156359,control,arb,1,980286886330461748,3058603046759242444836
231,11156359,poincare,noise,0,6047116235311340121889,1936211948140696628
232,11156359,control,noise,0,6047116235311340121889,1936211948140696628
233,11156360,poincare,arb,1,3329523137411729922,10383855608516294681761
234,11156360,control,arb,1,3329523137411729922,10383855608516294681761
235,11156360,poincare,noise,0,7243439489525566997257,2324959375595845240
236,11156360,control,noise,0,7243439489525566997257,2324959375595845240
237,11156361,poincare,arb,1,5577607924350525830,17319536263245859413098
238,11156361,control,arb,1,5577607924350525830,17319536263245859413098
239,11156361,poincare,noise,1,1066892612667661238,3290508567708410341176
240,11156361,control,noise,1,1066892612667661238,3290508567708410341176
241,11156362,poincare,arb,0,14256947723483546349163,4605915137850050698
242,11156362,control,arb,0,14256947723483546349163,4605915137850050698
243,11156362,poincare,noise,0,8107296037745442406267,2599977717541224355
244,11156362,control,noise,0,8107296037745442406267,2599977717541224355
245,11156363,poincare,arb,1,7702442464510900345,23893266440223379032809
246,11156363,control,arb,1,7702442464510900345,23893266440223379032809
247,11156363,poincare,noise,0,8154072867527229753090,2642251497471416272
248,11156363,control,noise,0,8154072867527229753090,2642251497471416272
249,11156364,poincare,arb,1,1511554595465831607,4670075769606129862650
250,11156364,control,arb,1,1511554595465831607,4670075769606129862650
251,11156364,poincare,noise,0,2391691439565974759996,774695876097032522
252,11156364,control,noise,0,2391691439565974759996,774695876097032522
253,11156365,poincare,arb,1,1040672461069533534,3211961867672447153043
254,11156365,control,arb,1,1040672461069533534,3211961867672447153043
255,11156365,poincare,noise,1,2507695002252850080,7711941118651512308652
256,11156365,control,noise,1,2507695002252850080,7711941118651512308652
257,11156366,poincare,arb,0,10800306623619921920236,3508363150230803509
258,11156366,control,arb,0,10800306623619921920236,3508363150230803509
259,11156366,poincare,noise,0,7763706829801605915966,2506556087778688023
260,11156366,control,noise,0,7763706829801605915966,2506556087778688023
261,11156367,poincare,arb,1,1814720708482763825,5624808347847685115493
262,11156367,control,arb,1,1814720708482763825,5624808347847685115493
263,11156367,poincare,noise,0,3325925850461775119411,1073848876898252990
264,11156367,control,noise,0,3325925850461775119411,1073848876898252990
265,11156368,poincare,arb,1,1311700527970060857,4061615256698239868261
266,11156368,control,arb,1,1311700527970060857,4061615256698239868261
267,11156368,poincare,noise,0,7257170300076995019963,2341243630840697348
268,11156368,control,noise,0,7257170300076995019963,2341243630840697348
269,11156369,poincare,arb,1,2890548705902183568,8954841312988555318295
270,11156369,control,arb,1,2890548705902183568,8954841312988555318295
271,11156369,poincare,noise,0,7090233178665682388648,2290072827438313678
272,11156369,control,noise,0,7090233178665682388648,2290072827438313678
273,11156370,poincare,arb,1,3165147926057436337,9790801368326485051372
274,11156370,control,arb,1,3165147926057436337,9790801368326485051372
275,11156370,poincare,noise,0,5995631614227045872219,1940677615196655007
276,11156370,control,noise,0,5995631614227045872219,1940677615196655007
277,11156371,poincare,arb,1,286371391768576106,886223111910634159696
278,11156371,control,arb,1,286371391768576106,886223111910634159696
279,11156371,poincare,noise,0,1651981771995978982990,533681632865600906
280,11156371,control,noise,0,1651981771995978982990,533681632865600906
281,11156372,poincare,arb,1,815958272107127920,2525026685060666436592
282,11156372,control,arb,1,815958272107127920,2525026685060666436592
283,11156372,poincare,noise,1,2643276137191474290,8150996352571710463008
284,11156372,control,noise,1,2643276137191474290,8150996352571710463008
285,11156373,poincare,arb,0,12998615569797974056803,4208578944644410640
286,11156373,control,arb,0,12998615569797974056803,4208578944644410640
287,11156373,poincare,noise,1,2124834854019034148,6576694994215908028431
288,11156373,control,noise,1,2124834854019034148,6576694994215908028431
