id,block,scenario,pool,kind,zeroForOne,amount_in,amount_out
155,11156106,0,poincare,noise,1,305613527578017928,893582022042913551204
156,11156106,0,control,noise,1,305613527578017928,893582022042913551204
157,11156107,0,poincare,arb,1,1144647734516214236,3342044687850207307712
158,11156107,0,control,arb,1,1144647734516214236,3342044687850207307712
159,11156107,0,poincare,noise,1,2931169988707212056,8523886638204017089577
160,11156107,0,control,noise,1,2931169988707212056,8523886638204017089577
161,11156108,0,poincare,arb,0,6916025615694179899227,2379556773148653366
162,11156108,0,control,arb,0,6916025615694179899227,2379556773148653366
163,11156108,0,poincare,noise,0,4563480076482196920951,1564042583512948923
164,11156108,0,control,noise,0,4563480076482196920951,1564042583512948923
165,11156109,0,poincare,arb,1,316924392648676816,925842917643294037323
166,11156109,0,control,arb,1,316924392648676816,925842917643294037323
167,11156109,0,poincare,noise,0,8601802810583445737044,2936861073819880478
168,11156109,0,control,noise,0,8601802810583445737044,2936861073819880478
169,11156110,0,poincare,arb,1,2433091297249884408,7129850141011777144010
170,11156110,0,control,arb,1,2433091297249884408,7129850141011777144010
171,11156110,0,poincare,noise,1,2034020168506703978,5934194550247806975621
172,11156110,0,control,noise,1,2034020168506703978,5934194550247806975621
173,11156111,0,poincare,arb,0,4520269685460899748257,1550119657179286541
174,11156111,0,control,arb,0,4520269685460899748257,1550119657179286541
175,11156111,0,poincare,noise,0,8069012311598578958937,2755340319514070945
176,11156111,0,control,noise,0,8069012311598578958937,2755340319514070945
177,11156112,0,poincare,arb,1,3061395399579523653,8962587938316866644501
178,11156112,0,control,arb,1,3061395399579523653,8962587938316866644501
179,11156112,0,poincare,noise,1,866963675335167982,2528309697813232887237
180,11156112,0,control,noise,1,866963675335167982,2528309697813232887237
181,11156113,0,poincare,arb,1,333263427212019819,970740573991338461632
182,11156113,0,control,arb,1,333263427212019819,970740573991338461632
183,11156113,0,poincare,noise,1,1231026225923610644,3580253821834088139870
184,11156113,0,control,noise,1,1231026225923610644,3580253821834088139870
185,11156114,0,poincare,arb,1,184177916242841673,534907845270787092318
186,11156114,0,control,arb,1,184177916242841673,534907845270787092318
187,11156114,0,poincare,noise,0,4331067137812635884984,1489345240141894460
188,11156114,0,control,noise,0,4331067137812635884984,1489345240141894460
189,11156115,0,poincare,arb,1,1164767670426893839,3388266385267993698506
190,11156115,0,control,arb,1,1164767670426893839,3388266385267993698506
191,11156115,0,poincare,noise,1,1622994245459013112,4708298324148520051291
192,11156115,0,control,noise,1,1622994245459013112,4708298324148520051291
193,11156116,0,poincare,arb,0,4526328114153254959314,1560363592032180985
194,11156116,0,control,arb,0,4526328114153254959314,1560363592032180985
195,11156116,0,poincare,noise,0,1543374652093208438677,530955100925229369
196,11156116,0,control,noise,0,1543374652093208438677,530955100925229369
197,11156117,0,poincare,arb,0,2212284013726641477175,760107795288800834
198,11156117,0,control,arb,0,2212284013726641477175,760107795288800834
199,11156117,0,poincare,noise,1,1190126440221322564,3462381819121953159999
200,11156117,0,control,noise,1,1190126440221322564,3462381819121953159999
201,11156118,0,poincare,arb,1,163353062239612216,474602838554741827615
202,11156118,0,control,arb,1,163353062239612216,474602838554741827615
203,11156118,0,poincare,noise,1,448065936993226546,1301019251414353557219
204,11156118,0,control,noise,1,448065936993226546,1301019251414353557219
205,11156119,0,poincare,arb,0,3710889340293298062675,1276973328363723806
206,11156119,0,control,arb,0,3710889340293298062675,1276973328363723806
207,11156119,0,poincare,noise,1,2489065758458825952,7224621327142150184186
208,11156119,0,control,noise,1,2489065758458825952,7224621327142150184186
209,11156120,0,poincare,arb,0,7291797772059180775081,2512152632821539925
210,11156120,0,control,arb,0,7291797772059180775081,2512152632821539925
211,11156120,0,poincare,noise,1,256544361230505250,746301837493807288091
212,11156120,0,control,noise,1,256544361230505250,746301837493807288091
213,11156121,0,poincare,arb,0,4179658167222810338943,1435107206066541075
214,11156121,0,control,arb,0,4179658167222810338943,1435107206066541075
215,11156121,0,poincare,noise,0,7478759483249237927846,2557775349082893722
216,11156121,0,control,noise,0,7478759483249237927846,2557775349082893722
217,11156122,0,poincare,arb,1,3468950069913735092,10133867394593020686983
218,11156122,0,control,arb,1,3468950069913735092,10133867394593020686983
219,11156122,0,poincare,noise,0,6993149839136864269619,2396381013142235471
220,11156122,0,control,noise,0,6993149839136864269619,2396381013142235471
221,11156123,0,poincare,arb,1,3711450398358920516,10816789185510590276803
222,11156123,0,control,arb,1,3711450398358920516,10816789185510590276803
223,11156123,0,poincare,noise,0,6594541194948436175749,2265944818926096684
224,11156123,0,control,noise,0,6594541194948436175749,2265944818926096684
225,11156124,0,poincare,arb,1,2389813044291660574,6954185335099352262937
226,11156124,0,control,arb,1,2389813044291660574,6954185335099352262937
227,11156124,0,poincare,noise,1,3025908599693070906,8758407368662295538953
228,11156124,0,control,noise,1,3025908599693070906,8758407368662295538953
229,11156125,0,poincare,arb,0,7617237360273786050790,2632668165174162701
230,11156125,0,control,arb,0,7617237360273786050790,2632668165174162701
231,11156125,0,poincare,noise,0,3139849182645093804299,1081241178893119535
232,11156125,0,control,noise,0,3139849182645093804299,1081241178893119535
233,11156126,0,poincare,arb,1,1325431079173655059,3848035677412400790437
234,11156126,0,control,arb,1,1325431079173655059,3848035677412400790437
235,11156126,0,poincare,noise,0,3482970725221804487722,1199835132601427933
236,11156126,0,control,noise,0,3482970725221804487722,1199835132601427933
237,11156127,0,poincare,arb,1,2609165788329985259,7563601191704265995899
238,11156127,0,control,arb,1,2609165788329985259,7563601191704265995899
239,11156127,0,poincare,noise,0,4020710223770216577911,1388664166075265038
240,11156127,0,control,noise,0,4020710223770216577911,1388664166075265038
241,11156128,0,poincare,arb,1,2138505043781575919,6187229664895724561694
242,11156128,0,control,arb,1,2138505043781575919,6187229664895724561694
243,11156128,0,poincare,noise,1,2687585280920634068,7739138265563383766674
244,11156128,0,control,noise,1,2687585280920634068,7739138265563383766674
245,11156129,0,poincare,arb,0,7334610975675333910527,2547454470792859135
246,11156129,0,control,arb,0,7334610975675333910527,2547454470792859135
247,11156129,0,poincare,noise,1,2873060325696269730,8269458281581501235879
248,11156129,0,control,noise,1,2873060325696269730,8269458281581501235879
249,11156130,0,poincare,arb,0,5859057925416204747326,2037283013998135052
250,11156130,0,control,arb,0,5859057925416204747326,2037283013998135052
